6,2,8,12,12,24,26,18
14,7,6,18,33,18,27,26
20,18,6,12,18,11,26,3
6,2,8,12,12,24,26,18
26,23,6,3,7,12,14,6
18,7,14,14,26,19,12,6
18,30,29,20,12,6,3,12
26,23,6,3,7,12,14,6
14,31,3,14,11,26,3,14
18,27,20,1,26,3,12,12
14,7,6,18,33,18,27,26
1,6,3,31,12,24,26,18
13,6,13,19,12,30,18,30
13,6,13,19,12,30,18,30
14,23,20,7,28,6,3,12
13,6,13,19,12,30,18,30
6,18,30,18,20,18,30,20
13,6,13,19,12,30,18,30
13,6,13,19,12,30,18,30
18,26,28,6,13,1,3,12
14,26,20,7,20,6,14,28
6,18,30,30,33,18,30,31
14,30,23,28,23,6,19,12
3,13,6,18,30,1,14,12
13,6,13,19,12,30,18,30
13,6,13,19,12,30,18,30
13,6,13,19,12,30,18,30
18,27,20,27,12,12,31,12
7,12,6,3,7,12,13,20
14,3,12,6,18,30,26,33
20,3,7,12,12,14,7,13
18,27,2,6,18,31,7,12
14,12,6,16,3,13,18,30
18,27,24,12,18,27,3,14
14,14,24,26,18,27,14,13
18,11,26,18,6,18,27,20
18,11,26,18,6,18,27,20
18,11,26,18,6,18,27,20
18,27,3,12,18,27,3,12
14,20,12,31,7,20,3,7
28,14,14,6,18,30,7,13
3,22,9,7,12,12,12,12
18,11,26,3,14,7,12,12
20,18,20,27,7,12,27,21
14,18,30,18,26,18,28,21
3,7,12,6,3,12,13,30
14,12,12,29,6,3,12,12
12,30,18,30,18,3,7,12
18,30,20,29,18,6,14,27
18,30,20,20,26,3,12,12
18,30,20,29,7,6,13,27
6,3,12,12,12,31,24,26
18,27,3,12,18,27,3,12
14,30,6,13,30,6,3,14
14,14,14,14,14,14,3,14
18,27,18,12,18,30,18,26
18,27,18,12,18,26,18,26
18,27,18,6,19,13,2,12
3,7,27,12,3,12,18,30
18,30,13,24,26,1,24,14
14,14,14,14,6,19,7,13
18,27,29,23,6,3,7,12
14,26,18,1,18,26,18,6
14,12,18,30,20,30,3,12
1,19,7,7,12,6,3,12
14,20,20,7,18,30,6,14
3,6,3,7,12,12,12,12
19,20,7,7,13,6,3,12
14,18,27,24,26,19,13,6
14,30,14,14,13,30,7,12
14,20,20,7,18,30,6,14
14,20,20,7,18,30,6,14
3,6,3,7,12,12,12,12
1,20,35,14,14,27,20,14
1,14,7,14,20,20,6,12
6,19,12,26,33,3,7,12
14,32,31,12,35,18,31,12
1,28,6,16,3,7,7,13
18,20,26,6,24,26,6,12
1,14,20,28,13,6,30,12
1,14,14,20,31,26,19,13
18,30,3,7,12,18,30,7
25,18,30,7,18,30,29,29
18,30,26,18,18,30,30,18
20,18,1,18,27,29,24,26
18,27,3,12,18,30,30,18
20,18,30,19,12,6,19,13
20,18,1,18,27,29,24,26
14,6,6,12,18,27,23,12
14,6,6,12,18,27,23,12
14,3,12,31,3,7,12,3
14,14,14,18,31,6,24,26
14,14,14,18,31,6,24,26
14,14,14,12,27,18,30,26
14,14,14,18,31,6,24,26
18,20,27,3,7,12,6,14
18,18,20,27,24,26,3,12
25,14,14,18,30,7,3,12
14,14,30,6,14,14,12,12
1,18,27,29,6,7,12,12
12,6,3,12,13,6,3,12
18,20,27,6,12,14,14,12
18,30,14,26,19,12,20,12
14,14,14,18,31,6,24,26
14,14,14,18,31,6,24,26
6,28,6,19,12,31,3,9
14,27,3,12,18,27,3,12
20,26,26,18,1,20,26,18
6,14,1,14,14,28,18,6
2,13,32,14,31,29,28,18
6,14,18,27,13,1,13,24
14,31,18,3,30,6,12,20
14,29,12,13,6,3,7,12
14,14,7,12,6,19,7,12
14,7,12,12,12,6,19,13
14,12,27,3,7,12,12,12
29,24,26,3,12,14,1,13
20,6,14,14,28,12,1,12
12,3,12,31,7,1,19,7
12,6,12,31,3,12,6,13
14,12,1,12,12,24,26,13
1,18,18,20,27,3,12,12
20,13,20,30,18,26,7,13
1,14,30,12,6,3,7,12
